,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
0,-1,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14
1,0,352,138,360,170,328,170,304,144,328,112,392,176,400,218,392,261,360,240,344,240,336,293,336,394,376,240,376,293,376,346
2,5,360,138,360,170,328,170,312,144,328,117,392,176,400,218,392,261,360,240,344,240,336,293,336,394,376,240,376,293,368,346
3,10,360,138,360,170,328,170,312,144,328,122,392,176,400,218,392,261,360,240,344,240,344,293,336,394,376,240,376,293,376,346
4,15,360,138,360,176,328,170,312,144,336,122,392,176,400,218,392,261,360,245,344,245,336,293,352,341,376,245,376,293,368,341
5,20,360,138,360,176,328,170,312,144,336,122,392,176,400,218,392,261,360,245,344,240,336,293,344,341,376,245,376,293,376,341
6,25,360,138,360,176,328,170,312,144,336,128,392,176,400,218,392,261,360,240,344,240,336,293,344,336,376,240,376,293,376,341
7,30,360,138,360,170,328,170,312,144,336,128,392,176,400,218,392,261,360,245,344,240,336,293,352,341,376,245,376,293,376,341
8,35,352,138,360,176,328,170,312,144,336,128,392,176,400,218,392,261,360,245,344,240,336,293,344,336,376,245,376,293,376,341
9,40,352,138,360,170,328,170,312,144,336,128,392,176,400,218,392,261,360,245,336,240,336,293,336,400,376,245,376,293,384,400
10,45,352,138,360,170,328,170,304,144,336,128,392,176,400,218,392,261,360,240,336,240,336,293,336,400,376,240,376,293,384,400
11,50,352,138,360,170,328,170,304,144,336,128,392,176,400,218,392,261,360,245,344,240,336,293,344,336,376,245,376,298,376,341
12,55,352,138,360,176,328,170,304,149,336,128,392,176,400,218,400,261,360,245,336,240,336,293,336,336,376,245,376,293,384,400
13,60,352,144,360,176,328,170,304,149,328,128,392,176,392,218,392,250,360,245,344,245,336,293,336,336,376,245,376,298,376,341
14,65,352,144,360,176,328,176,304,149,328,128,392,176,400,213,-1,-1,360,240,344,240,344,293,336,400,376,240,376,288,384,400
15,70,352,144,360,170,328,170,304,149,328,128,384,165,400,213,392,170,360,245,344,245,344,293,336,400,376,245,376,288,384,400
16,75,352,144,352,170,328,170,304,149,328,128,384,176,400,208,384,165,360,240,344,240,344,288,344,325,376,240,376,282,384,400
17,80,352,144,360,176,328,176,304,149,328,128,384,176,400,208,384,165,360,245,344,245,336,288,344,325,376,245,376,288,376,330
18,85,352,144,360,170,328,170,304,149,328,128,384,170,400,208,384,165,360,245,344,240,336,288,344,325,376,245,376,288,384,400
19,90,352,144,360,170,328,176,304,149,328,128,384,170,400,208,384,165,360,245,336,245,336,288,344,325,376,245,376,288,376,330
20,95,352,144,360,170,328,176,304,149,328,128,384,170,400,208,392,170,360,245,344,240,336,288,344,325,376,245,376,288,384,400
