,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
0,-1,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14
1,0,416,154,392,192,368,192,320,197,272,197,424,192,472,181,512,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
2,5,416,154,392,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
3,10,416,154,400,192,368,192,320,197,280,197,424,186,472,186,512,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
4,15,416,154,392,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,341,280,378,424,282,480,304,488,378
5,20,416,154,392,192,368,192,320,197,280,197,424,192,472,186,512,181,400,288,376,288,328,336,280,378,424,282,480,304,488,378
6,25,416,154,392,192,368,192,320,197,280,197,424,192,472,186,512,181,400,288,376,288,336,336,280,378,424,282,480,304,488,378
7,30,416,154,400,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
8,35,416,160,400,192,368,192,320,197,280,197,424,192,472,186,512,181,400,288,376,288,336,336,272,384,424,288,480,304,488,378
9,40,416,160,400,192,368,192,320,197,272,197,424,192,472,186,520,181,400,288,376,288,336,336,272,384,424,288,480,304,488,378
10,45,416,154,400,192,368,192,320,197,272,197,424,192,472,186,512,186,400,288,376,288,328,336,272,384,424,288,480,304,488,378
11,50,416,154,400,192,368,192,320,197,272,197,424,192,472,186,512,186,400,288,376,288,328,336,272,384,424,282,480,304,488,378
12,55,416,154,400,192,368,192,320,197,280,197,424,192,472,186,512,186,400,288,376,288,328,336,272,384,424,288,480,304,488,378
13,60,416,154,400,192,368,192,320,197,280,197,424,192,464,186,512,186,400,288,376,288,328,336,272,384,424,288,480,304,488,378
14,65,416,154,400,192,368,192,320,197,272,197,424,192,464,186,512,186,400,288,376,288,328,336,272,384,424,288,480,304,488,378
15,70,416,154,392,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,288,480,304,488,378
16,75,416,154,400,192,368,192,320,197,272,197,424,192,472,186,520,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
17,80,416,154,392,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
18,85,416,154,392,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,288,480,304,488,378
19,90,416,154,400,192,368,192,320,197,272,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,282,480,304,488,378
20,95,416,154,400,192,368,192,320,197,280,197,424,192,472,186,512,181,400,288,376,288,328,336,272,384,424,288,480,304,488,378
21,100,416,160,400,192,368,192,320,197,280,197,424,192,464,186,512,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
22,105,424,160,400,192,368,197,320,197,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
